   138999999.12828207        131809.29864167210     
   177999998.25656414        132680.12743552716     
   216999997.38484621        133558.00030202436     
   255999996.51312828        134443.10355293009     
   295000002.90572643        135335.61078118722     
   333999994.76969242        136235.68332541393     
   373000001.16229057        137143.47323965444     
   411999993.02625656        138059.12178736847     
   451000013.94748688        138982.76336913405     
   490000005.81145287        139914.52226234844     
   528999997.67541885        140854.51768186004     
   567999989.53938484        141802.86179469500     
   606999981.40335083        142759.66092937192     
   646000002.32458115        143725.01670119551     
   685000023.24581146        144699.02441281252     
   723999986.05251312        145681.77423531917     
   763000006.97374344        146673.35655746068     
   802000027.89497375        147673.85352012381     
   840999990.70167542        148683.34370168048     
   880000011.62290573        149701.90721266047     
   918999974.42960739        150729.61510626218     
   957999995.35083771        151766.54173973878     
   997000016.27206802        152812.75430088805     
   1035999979.0787697        153868.31744032612     
   1075000000.0000000        154933.29879190179     
   1113999962.8067017        156007.75753499981     
   1153000041.8424606        157091.75895078533     
   1192000004.6491623        158185.35529579455     
   1230999967.4558640        159288.60689973825     
   1270000046.4916229        160401.57252445337     
   1309000009.2983246        161524.30002446193     
   1347999972.1050262        162656.84609495418     
   1387000051.1407852        163799.26555451006     
   1426000013.9474869        164951.60208577901     
   1464999976.7541885        166113.90878069913     
   1504000055.7899475        167286.23817233829     
   1543000018.5966492        168468.63172686938     
   1581999981.4033508        169661.14090868318     
   1620999944.2100525        170863.81139429315     
   1660000023.2458115        172076.69595143688     
   1698999986.0525131        173299.83122311212     
   1737999948.8592148        174533.26444373353     
   1777000027.8949738        175777.04309324449     
   1815999990.7016754        177031.20375181048     
   1854999953.5083771        178295.79445066134     
   1894000032.5441360        179570.86380031079     
   1932999995.3508377        180856.44955733532     
   1971999958.1575394        182152.60152907952     
   2011000037.1932983        183459.36798384966     
   2050000000.0000000        184776.78801645007     
   2088999962.8067017        186104.91099279508     
   2127999925.6134033        187443.77782817706     
   2166999888.4201050        188793.43041752995     
   2206000083.6849213        190153.91988057466     
   2245000046.4916229        191525.27416366356     
   2284000009.2983246        192907.54679618360     
   2322999972.1050262        194300.78462052473     
   2361999934.9117279        195705.03596982211     
   2400999897.7184296        197120.35076853455     
   2440000092.9832458        198546.78916790616     
   2479000055.7899475        199984.38757087741     
   2518000018.5966492        201433.20720672075     
   2556999981.4033508        202893.29907984665     
   2595999944.2100525        204364.72790191093     
   2634999907.0167542        205847.53860227932     
   2674000102.2815704        207341.78712329236     
   2713000065.0882721        208847.50483627481     
   2752000027.8949738        210364.75208895199     
   2790999990.7016754        211893.58275793245     
   2829999953.5083771        213434.05323045223     
   2868999916.3150787        214986.22251393544     
   2908000111.5798950        216550.16170237542     
   2947000074.3865967        218125.91672889297     
   2986000037.1932983        219713.56440515333     
   3025000000.0000000        221313.17531442930     
   3063999962.8067017        222924.82320781422     
   3102999925.6134033        224548.58511369445     
   3141999888.4201050        226184.54144735215     
   3181000083.6849213        227832.75723079138     
   3220000046.4916229        229493.32091628015     
   3259000009.2983246        231166.34287491193     
   3297999972.1050262        232851.88207908833     
   3336999934.9117279        234550.00151374878     
   3375999897.7184296        236260.76833252390     
   3415000092.9832458        237984.26432502919     
   3454000055.7899475        239720.54490642995     
   3493000018.5966492        241469.70091011602     
   3531999981.4033508        243231.81772946843     
   3570999944.2100525        245006.98570939072     
   3609999907.0167542        246795.30030290442     
   3649000102.2815704        248596.87300560274     
   3688000065.0882721        250411.78848068233     
   3727000027.8949738        252240.16914327309     
   3765999990.7016754        254082.13244365083     
   3804999953.5083771        255937.80172176083     
   3843999916.3150787        257807.30636287355     
   3883000111.5798950        259690.79322132736     
   3922000074.3865967        261588.38178678032     
   3961000037.1932983        263500.23169602582     
   4000000000.0000000        265426.38397506101     
